,2000,2150,2300,2450,2600,2750,2900,3050,3200,3350,3500,3650,3800,3950,4100,4250,4400,4550,4700,4850,5000,5150,5300,5450,5600,5750,5900,6050,6200,6350,6500,6650,6800,6950,7100,7250,7400,7550,7700,7850
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,99.86754257744212,107.35760827075029,114.84767396405844,122.3377396573666,129.82780535067477,137.31787104398293,144.80793673729107,152.29800243059927,159.7880681239074,167.27813381721558,174.76819951052371,182.25826520383188,189.74833089714005,197.23839659044816,204.72846228375636,212.21852797706453,219.70859367037266,227.19865936368083,234.688725056989,242.17879075029717,249.6688564436053,257.1589221369135,264.64898783022164,272.1390535235298,279.629119216838,287.1191849101461,294.60925060345426,302.0993162967624,309.5893819900706,317.07944768337876,324.5695133766869,332.0595790699951,339.5496447633032,347.0397104566114,354.52977614991954,362.0198418432277,369.5099075365359,376.999973229844,384.4900389231522,391.9801046164603
0.1,199.183168070557,214.12190567584878,229.06064328114056,243.99938088643233,258.9381184917241,273.8768560970159,288.81559370230764,303.75433130759944,318.6930689128912,333.631806518183,348.57054412347475,363.5092817287665,378.4480193340583,393.38675693935005,408.32549454464186,423.2642321499336,438.2029697552254,453.14170736051716,468.08044496580897,483.0191825711007,497.9579201763925,512.8966577816843,527.8353953869761,542.7741329922678,557.7128705975596,572.6516082028513,587.5903458081432,602.5290834134349,617.4678210187267,632.4065586240184,647.3452962293103,662.284033834602,677.2227714398938,692.1615090451855,707.1002466504773,722.0389842557692,736.9777218610609,751.9164594663525,766.8551970716445,781.7939346769363
0.15000000000000002,297.40892028616105,319.71458930762316,342.0202583290852,364.3259273505473,386.63159637200937,408.9372653934715,431.24293441493353,453.5486034363957,475.8542724578577,498.15994147931985,520.4656105007818,542.771279522244,565.0769485437061,587.3826175651681,609.6882865866302,631.9939556080923,654.2996246295544,676.6052936510164,698.9109626724785,721.2166316939406,743.5223007154027,765.8279697368647,788.1336387583268,810.4393077797889,832.7449768012509,855.050645822713,877.3563148441751,899.6619838656372,921.9676528870992,944.2733219085613,966.5789909300235,988.8846599514856,1011.1903289729476,1033.4959979944097,1055.8016670158718,1078.1073360373339,1100.413005058796,1122.7186740802579,1145.0243431017202,1167.330012123182
0.2,394.0339606103568,423.5865076561336,453.13905470191037,482.6916017476871,512.2441487934639,541.7966958392407,571.3492428850174,600.9017899307943,630.454336976571,660.0068840223478,689.5594310681245,719.1119781139013,748.664525159678,778.2170722054547,807.7696192512315,837.3221662970083,866.8747133427851,896.4272603885618,925.9798074343386,955.5323544801154,985.0849015258921,1014.6374485716689,1044.1899956174457,1073.7425426632224,1103.295089708999,1132.847636754776,1162.4001838005527,1191.9527308463294,1221.5052778921063,1251.057824937883,1280.6103719836597,1310.1629190294366,1339.7154660752133,1369.26801312099,1398.8205601667669,1428.3731072125436,1457.9256542583203,1487.478201304097,1517.030748349874,1546.5832953956506
0.25,488.5861979640053,525.2301628113057,561.8741276586061,598.5180925059066,635.1620573532069,671.8060222005073,708.4499870478077,745.0939518951083,781.7379167424085,818.381881589709,855.0258464370094,891.6698112843097,928.3137761316101,964.9577409789104,1001.601705826211,1038.2456706735113,1074.8896355208117,1111.533600368112,1148.1775652154124,1184.821530062713,1221.4654949100134,1258.1094597573137,1294.753424604614,1331.3973894519145,1368.0413542992148,1404.6853191465152,1441.3292839938158,1477.9732488411162,1514.6172136884165,1551.261178535717,1587.9051433830173,1624.5491082303176,1661.193073077618,1697.8370379249184,1734.481002772219,1771.1249676195193,1807.7689324668197,1844.4128973141198,1881.0568621614207,1917.7008270087208
0.30000000000000004,580.6418200916778,624.1899565985536,667.7380931054295,711.2862296123052,754.834366119181,798.3825026260569,841.9306391329327,885.4787756398088,929.0269121466844,972.5750486535603,1016.123185160436,1059.671321667312,1103.2194581741878,1146.7675946810634,1190.3157311879395,1233.8638676948153,1277.4120042016912,1320.960140708567,1364.5082772154426,1408.0564137223184,1451.6045502291943,1495.15268673607,1538.700823242946,1582.2489597498218,1625.7970962566976,1669.3452327635734,1712.8933692704493,1756.4415057773251,1799.989642284201,1843.5377787910768,1887.0859152979526,1930.6340518048285,1974.1821883117043,2017.7303248185801,2061.278461325456,2104.826597832332,2148.374734339208,2191.9228708460832,2235.4710073529595,2279.0191438598354
0.35000000000000003,669.8323510746628,720.0697774052625,770.3072037358622,820.5446300664619,870.7820563970616,921.0194827276613,971.256909058261,1021.4943353888609,1071.7317617194603,1121.9691880500602,1172.2066143806599,1222.4440407112595,1272.6814670418592,1322.9188933724588,1373.1563197030587,1423.3937460336583,1473.6311723642582,1523.8685986948578,1574.1060250254575,1624.3434513560571,1674.580877686657,1724.8183040172567,1775.0557303478563,1825.293156678456,1875.5305830090558,1925.7680093396555,1976.005435670255,2026.242862000855,2076.4802883314546,2126.7177146620543,2176.955140992654,2227.1925673232536,2277.429993653853,2327.6674199844533,2377.904846315053,2428.1422726456526,2478.3796989762523,2528.6171253068514,2578.854551637452,2629.091977968051
0.4,755.849075168614,812.5377558062601,869.2264364439061,925.9151170815521,982.6037977191982,1039.2924783568442,1095.9811589944902,1152.6698396321365,1209.3585202697823,1266.0472009074285,1322.7358815450746,1379.4245621827206,1436.1132428203666,1492.8019234580124,1549.4906040956587,1606.1792847333047,1662.8679653709507,1719.5566460085968,1776.2453266462428,1832.9340072838888,1889.622687921535,1946.3113685591811,2003.0000491968271,2059.688729834473,2116.377410472119,2173.0660911097652,2229.7547717474113,2286.4434523850573,2343.1321330227033,2399.8208136603494,2456.5094942979954,2513.1981749356414,2569.8868555732874,2626.5755362109335,2683.2642168485795,2739.9528974862255,2796.6415781238716,2853.3302587615176,2910.018939399164,2966.70762003681
0.45,838.4448731120011,901.3282385954012,964.2116040788013,1027.0949695622014,1089.9783350456014,1152.8617005290016,1215.7450660124016,1278.6284314958018,1341.5117969792018,1404.395162462602,1467.278527946002,1530.161893429402,1593.0452589128022,1655.928624396202,1718.8119898796024,1781.6953553630024,1844.5787208464023,1907.4620863298026,1970.3454518132025,2033.2288172966028,2096.112182780003,2158.9955482634027,2221.878913746803,2284.762279230203,2347.645644713603,2410.529010197003,2473.4123756804033,2536.2957411638035,2599.1791066472033,2662.0624721306035,2724.9458376140037,2787.8292030974035,2850.7125685808037,2913.595934064204,2976.479299547604,3039.362665031004,3102.246030514404,3165.129395997804,3228.0127614812045,3290.8961269646043
